Name,Form,LV,HP,STR,MAG,VIT,SPR,SPD,EVA,EXP
Abyss Worm,,1-100,210-26000,11-145,3-59,2-63,8-20,3-16,0-4,100-1090
Adamantoise,,1-100,573-42500,13-155,2-77,210,151-203,3-10,3,50-1040
Anacondaur,,1-100,842-24800,18-138,2-122,10-60,2-84,10-20,0-6,60-1050
Amadodo,,1-100,731-18700,12-116,1-79,120-128,4-16,4-14,0-4,80-1565
Base Leader,,1-100,806-4400,6-163,9-170,31-100,45-97,6-13,2-10,30-525
Base Soldier,,1-100,217-10400,7-114,4-101,23-92,32-35,4-11,0-8,30-525
Behemoth,,1-100,35221-67000,64-250,3-243,12-18,3-226,3-9,0-10,200-3170
Belhelmel,,1-100,369-5760,4-106,5-95,30-33,10-22,10-27,0-5,10-604
Bite Bug,,1-100,114-2510,2-72,1-53,4-6,2-18,4-9,2-9,15-510
Blitz,,1-100,611-7200,9-103,57-78,35-39,25-31,2-19,0-5,20-1010
Blobra,,1-100,246-3840,8-74,9-153,240-245,170-181,6-10,0-10,40-832
Blood Soul,,1-100,510-6500,4-58,10-119,7-62,150-183,8-21,0-5,15-510
Blue Dragon,,1-100,236-41000,15-166,27-225,71-132,120-170,5-30,0-6,100-2080
Bomb,,1-100,288-5080,2-91,1-132,2-57,4-105,2-15,0-6,30-525
Buel,,1-100,43-1840,1-43,3-227,1-7,200-212,10-17,0-4,5-104
Cactuar,,1-100,202-1400,2-27,5-134,16-189,254,8-21,100,1-100
Caterchipillar,,1-100,172-7360,10-91,7-174,2-71,18-23,4-11,0-4,28-523
Chimera,,1-100,352-60000,21-190,27-238,41-132,89-132,5-25,2-8,150-2130
Cockatrice,,1-100,1007-5200,9-96,14-198,9-78,91-162,12-29,2-19,40-1030
Creeps,,1-100,210-6200,6-74,7-101,3-8,171-220,25-38,30-40,35-827
Death Claw,,1-100,4231-22200,11-135,11-103,45-57,8-24,4-29,0-5,40-1525
Dummy,,1-100,11-610,1-56,1-87,3-15,20-25,25-54,0-5,10-1000
Esthar Soldier,,1-100,98-4890,3-93,1-75,2-8,5-17,5-22,0-13,20-317
Esthar Soldier,,1-100,163-7950,8-141,6-131,44-47,31-85,6-46,0-6,30-327
Elastoid,,1-100,531-18500,9-141,10-182,140-141,120-132,120-132,4-12,80-2060
Elite Soldier,,1-100,8-4800,3-127,6-123,36-48,38-41,6-14,2-10,30-525
Elnoyle,,1-100,30421-82000,64-251,64-250,11-83,81-180,10-16,0-3,220-2200
Fastitocalon,,1-100,215-9200,6-110,36-181,40-73,58-78,3-20,5-15,60-1050
Fastitocalon,F,1-100,215-9200,6-110,36-181,40-73,58-78,3-20,5-15,15-510
Fastitocalon ,Fin,1-100,215-9200,6-110,36-181,40-73,58-78,3-20,5-15,60-1050
Forbidden,,1-100,221-22100,14-163,1-133,25-37,200-212,11-60,2-19,85-1570
Fungar,,1-100,303-2100,5-62,1-72,2-56,2-56,2-8,0-4,20-317
G-soldier,,1-100,45-3040,3-73,1-75,1-13,2-14,4-11,0-8,20-17
Gayla,,1-100,1021-13000,5-93,7-112,15-65,34-105,10-35,1-9,30-525
Geezard,,1-100,43-1840,5-65,1-44,4-7,1-17,3-11,0-7,10-505
