Name,Level,HP,Strength,Defense,Magic Defense,EXP,Gil,
Goblin1,3,6,16,0,1,28,5,
Basilisk,7,90,15,2,9,110,30,
Helldiver,?,18,21,0,0,40,5,
Floating Eye,?,20,20,0,0,42,9,
Larva,?,28,20,1,4,49,8,
Cave Bat,?,334,42,3,12,598,151,
Treant,?,335,52,1,15,687,147,
Sword Rat,?,30,21,0,11,66,13,
Tiny Mage,?,69,19,2,38,132,63,
Desert Sahagin,?,20,20,0,4,70,17,
Eyewing Moth,?,40,21,3,5,74,18,
Hundlegs,?,60,11,3,4,79,20,
Sand Worm1,10,75,13,2,7,82,22,
Gigantoad,?,47,11,2,6,89,24,
Fangshell,?,58,11,1,8,101,28,
Zombie,?,52,13,2,9,112,31,
Killer Fish,?,65,11,1,7,119,30,
Blood Flower,?,370,62,2,6,1204,32,
Toadgre,?,59,11,1,7,127,34,
Red Mousse,?,35,15,254,7,134,36,
Yellow Jelly,?,55,16,254,12,144,33,
Sahagin,?,64,18,2,7,136,38,
Leshy,?,130,18,2,10,157,42,
Caterpiller,?,982,72,3,17,2822,39,
Goblin Captain,?,199,56,0,0,1930,45,
Black Lizard1,?,792,64,4,15,1298,43,
Adamantoise,12,190,16,1,10,234,46,
Domovoi,?,37,15,0,7,184,48,
Purple Bavarois,-,105,52,254,9,750,50,
Gatlinghog1,-,115,28,2,8,335,53,
Mortblossom,-,440,24,2,17,216,210,
Spirit,-,86,24,1,9,278,66,
Skeleton,?,135,26,2,8,238,126,
Cockatrice,-,149,24,1,11,275,82,
Gargoyle,?,160,28,2,12,78,61,
Fledgling Rukh,-,50,60,2,9,1004,81,
Belphegor1,?,2200,108,5,12,4088,484,
Zu,?,941,26,0,0,432,281,
Amoeba,?,125,16,3,11,225,79,
Alligator,?,175,22,2,10,236,40,
Splasher,?,180,30,3,10,430,63,
Baron Marine,?,65,28,2,4,400,100,
Captain,?,320,36,2,11,600,152,
Soul,?,200,38,3,10,460,59,
Bloodbones,?,210,36,3,12,315,161,
Ghoul,?,222,32,3,11,505,43,
Skuldier,?,740,74,3,18,1577,116,
Revenant,?,250,36,1,12,575,47,
Succubus,?,270,38,2,15,810,133,
Cave Naga,?,285,40,3,12,740,141,
Bone Dragon,?,12000,142,3,254,14000,6750,
Electrofish,?,285,40,2,13,640,82,
Gigas Gator,?,292,38,2,15,660,101,
Hydra,?,257,44,2,14,670,98,
Flood Worm,?,638,42,0,22,690,128,
Baron Guardsman,?,280,40,3,14,710,153,
Lamia,?,1200,72,4,16,2059,143,
Needlehog,?,398,40,30,12,700,119,
Ettin Snake,?,108,46,0,22,720,126,
Storm Anima,?,1400,90,4,22,2459,149,
Mindflayer,?,300,44,3,22,1000,162,
Naga,?,320,66,5,14,1118,150,
Ogre,?,865,60,2,12,800,134,
Cait Sith,?,342,50,2,16,820,147,
Black Knight,?,360,64,2,19,840,175,
Centaur Knight,?,380,58,2,18,860,172,
Vampiress,?,2375,88,4,24,3582,188,
Devil’s Castanet,?,380,42,2,19,1030,98,
Lesser Marilith,?,1400,76,4,22,3082,205,
Fell Knight,?,2200,84,4,26,4288,575,
Armadillo,?,325,58,4,12,1555,194,
Soldieress,?,425,60,3,15,1050,200,
Ghost Knight,?,1050,76,4,19,2559,211,
Nagaraja,?,1480,88,3,26,3582,238,
Medusa,?,490,64,4,14,1208,225,
Dinozombie,?,12000,132,4,254,15000,8100,
Magma Tortoise,?,435,70,3,17,1666,234,
Evil Dreamer,?,2800,100,3,23,3141,362,
Bomb,?,55,19,2,15,361,54,
Gray Bomb,?,111,36,4,25,445,67,
Chimera,?,700,80,3,18,1708,228,
Fell Turtle,?,700,72,4,14,920,224,
Ironback,?,100,74,4,15,1077,233,
Flamehound1,?,1221,68,3,22,1708,244,
Gorgon,?,2550,134,4,40,3003,240,
Stone Golem,?,2560,84,4,254,2908,238,
Lilith,?,466,46,3,13,309,150,
Lamia Matriarch,?,1100,74,4,31,2859,247,
