Name,Level,HP,MP,Strength,Magic,Defense,Magic Defense,Agility,Accuracy,Evasion,Luck,EXP,AP,Gil,Pilfer Gil
Sallet,3,60,4,12,1,122,2,42,95,0,1,4,1,10,90
Bicocette,8,182,10,22,2,123,3,48,95,0,1,44,1,18,120
Barbuta,22,562,13,31,5,124,5,52,95,0,1,42,1,33,130
Armet,23,788,21,38,6,126,6,54,95,0,1,113,1,74,280
Bascinet,33,1342,27,44,7,1128,8,67,95,0,1,210,1,110,260
Heavy Sallet,31,11200,0,71,4,223,18,82,0,0,2,380,1,110,480
Coyote,2,74,0,7,1,1,1,59,95,1,3,3,1,10,56
Wild Wolf,8,185,0,20,3,2,1,67,0,2,3,10,1,12,70
Killer Hound,12,202,0,28,8,2,1,62,0,5,3,36,1,18,82
White Fang,13,378,4,32,6,3,1,74,0,6,3,40,1,48,160
Canis Major,24,943,8,36,9,3,2,103,0,21,3,158,1,67,228
Lupus,27,1262,10,37,12,4,2,93,0,26,3,188,1,80,280
Tindalos,30,3324,12,40,19,4,3,135,0,33,3,900,1,315,660
Divebeak,1,10,2,4,1,1,2,82,0,33,16,2,1,12,60
Peregrine,12,735,28,39,16,3,4,113,0,48,48,70,1,44,175
Aquila,22,1897,42,44,24,4,6,130,0,56,16,102,1,55,240
Tentacles,35,2530,64,44,34,38,47,61,0,0,6,143,1,95,380
Gecko,10,228,10,42,3,8,3,77,0,7,8,22,1,18,72
Agama,8,133,29,38,24,6,3,63,0,8,8,27,1,16,80
Skink,25,882,44,26,13,28,4,73,0,11,8,108,1,78,330
Anole,24,734,33,23,14,26,4,71,0,25,8,105,1,70,238
Archaeothyris,32,1332,58,36,17,33,5,85,100,35,8,188,1,110,420
Lacerta,72,12324,62,188,18,144,12,113,0,80,22,750,1,200,850
Death Dauber,5,78,1,18,1,2,1,133,0,21,12,18,1,12,70
Assassin Bee,19,233,1,29,2,3,1,92,0,23,12,38,1,48,160
Acullate,22,776,27,31,3,5,1,103,0,28,12,177,1,72,260
Vespa,25,983,32,36,6,4,2,101,0,37,12,185,1,78,244
Wasp Queen,38,7334,23,62,13,18,3,82,0,50,1,230,1,98,180
