Name,HP,Str,Def,Agl,Mana,GP 
Albatros,20,6,3,9,4,40
Ammonite,409,51,49,50,35,1600
Amoeba,295,34,32,33,22,900
Anaconda,231,30,39,28,19,600
Ant Lion,295,23,22,21,44,900
Anubis,729,99,62,80,82,2000
Armor,729,95,94,56,55,2400
Asigaru,20,5,6,8,3,40
Athtalot,729,82,79,80,83,2400
Atom Ant,295,28,55,53,41,1200
Atomcrab,150,18,32,12,10,400
Baku,666,88,71,69,52,2000
Barracud,60,9,6,11,5,120
Basilisk,795,81,99,63,61,2000
Beetle,202,19,40,38,29,600
Behemoth,409,60,47,45,32,1200
Beholder,666,63,81,61,99,2400
Big Eye,82,8,12,6,22,240
Black Cat,606,89,70,87,52,2000
Boneking,666,75,55,57,94,2400
Buruburu,295,28,27,54,55,1200
Cactus,150,15,16,8,9,240
Catwoman,175,30,14,21,23,400
Chimera,262,37,36,49,50,900
Cicada,551,70,88,89,69,2000
Clam,231,26,24,25,16,600
Clayman,295,50,37,25,48,900
Clipper,20,4,9,7,5,40
Cocatris,501,66,47,99,64,2000
Condor,82,11,6,14,9,80
Conjurer,150,22,21,30,31,400
Crab,295,37,61,26,24,900
Crawler,330,38,25,24,37,900
Dagon,729,81,99,63,61,2000
Darkrose,795,81,82,61,62,2000
Demon,454,56,53,54,57,1600
Demonking,666,76,73,74,77,2400
Demolord,501,61,58,59,62,2000
Dinosaur,501,55,71,40,38,1600
Dokuro,368,46,31,33,60,1200
Dragon 1,202,30,28,19,39,600
Dragon 2,262,38,36,25,49,900
Dragon 3,368,51,49,35,65,1200
Dragon 4,501,66,64,47,83,2000
Dragon 5,606,76,74,56,94,2400
Dragonfly,82,12,17,18,11,240
Eagle,150,23,14,38,21,400
Elec Eel,606,71,69,88,52,2000
Evil Eye,606,57,75,55,99,2400
Fenswolf,729,99,81,99,62,2000
F-Flower,666,70,71,51,52,2000
Fireman,666,95,75,56,93,2400
Fly,20,6,8,9,5,40
Ganesha,795,99,82,80,62,2000
Gang,729,88,53,70,51,2400
Gargoyle,82,11,8,9,12,120
Garlic,231,25,26,15,16,600
Garuda,606,71,52,88,69,2000
