Name,HP,Str,Def,Agl,Mana
Adamant,507,51,61,42,45
Ammonite,358,36,27,31,32
Amoeba,148,15,9,9,12
Anaconda,411,43,43,41,34
Answerer,465,51,49,53,55
Ant Lion,324,26,36,36,32
Anubis,912,91,80,86,80
Arachne,858,86,86,86,86
Asigaru,120,5,6,5,2
Athtalot,804,86,86,86,91
Baby-D,248,26,25,20,26
Baby-D (Starter),45,5,2,6,5
BabyWyrm,81,10,8,9,5
Barracud,99,6,6,10,10
Basilisk,912,91,86,75,86
Beetle,81,4,10,10,8
Behemoth,966,99,86,75,72
Beholder,858,83,86,78,97
Big Eye,182,17,18,14,23
Bl. Belt,731,73,81,68,71
BlackCat,731,73,81,68,71
BoneKing,756,71,66,73,81
Boulder,430,39,51,31,39
Byak-Ko,858,91,86,86,80
C-Fisher,731,63,78,78,66
Cameleon,208,21,18,13,18
Cancer,681,78,73,73,73
CatWoman,549,55,47,51,47
Chafer,248,19,28,28,25
Champgno,324,32,36,29,32
Chimera,591,68,61,61,52
Cicada,706,71,73,81,71
Clayman,278,25,28,19,25
Cobble,137,12,18,7,13
Cocatris,522,61,55,73,66
Commando,400,43,41,43,33
Conjurer,123,16,9,16,17
Corpsuci,290,36,32,32,32
Crab,115,10,17,12,13
D-Turtle,731,73,86,63,64
Dagon,831,80,97,83,86
DarkRose,858,86,86,80,91
DemoLoad,781,73,73,73,78
Demon,465,51,51,51,55
Dinosaur,591,61,51,42,40
Dolphin,5000,60,60,60,60
Dragon,614,64,61,55,60
Eagle,45,8,5,13,10
Earth,885,83,99,72,86
Evil Eye,731,71,73,66,83
EvilPine,430,41,45,35,41
F-Flower,614,61,61,57,66
F-Spider,731,73,73,73,76
Fairy,373,32,37,49,51
Falcon,614,68,68,61,0
FengLung,858,91,86,89,78
Fiend,104,13,13,13,13
FireMoth,507,42,47,57,52
Flower,81,8,8,6,10
Fly,38,4,5,7,4
Fungus,45,5,6,3,5
G-7,756,78,76,78,0
Gae Bolg,373,41,39,43,45
Gang,45,5,4,7,3
Garuda,656,71,71,81,71
Gazer,411,39,41,35,49
Gen-Bu,858,86,99,75,83
Ghast,591,59,42,42,51
Ghost,885,78,75,94,94
Ghoul,234,23,13,13,18
Giant,681,81,73,71,73
GlanToad,756,73,71,78,62
GigaWorm,858,91,83,78,91
Gloom,731,63,68,81,81
Goblin,31,7,5,4,5
Great-D,731,76,73,66,71
Griffon,169,22,18,18,16
Grippe,71,12,16,15,14
Guard,263,25,29,22,22
Gunfish,781,68,68,78,73
Haniwa,10000,90,90,90,90
Harpy,203,23,23,29,28
Hawk,300,38,38,32,0
Hermit,392,37,49,39,41
Hofud,156,18,17,20,21
Hornet,233,23,25,29,23
HugeToad,637,61,59,66,52
Hydra,731,76,76,73,62
Ice Crab,591,57,71,59,55
Imp,31,5,5,5,6
Intrcept,731,81,81,73,0
Ironman,781,73,78,63,66
Jaguar,45,6,5,5,3
Jelly,195,18,18,14,21
Jorgandr,858,89,89,86,80
Kelpie,182,20,18,20,16
Killer,507,51,49,57,47
KingCrab,706,68,83,71,73
KingToad,885,86,83,91,80
Kirin,831,94,86,86,80
Knight,390,41,47,37,37
Komodo,358,36,32,26,32
Kraken,912,91,78,83,86
Kusunagi,804,86,83,89,91
Lamia,507,49,47,51,57
Lava Worm,507,55,49,44,50
Leviathn,912,80,80,91,86
Lich,885,83,78,86,94
Lilith,858,83,80,86,94
LiveOrk,263,25,28,20,25
Lizard,59,6,5,2,5
Madame,858,75,80,94,94
MadCeder,756,73,78,66,73
Magician,324,26,27,38,39
Manticore,307,38,32,32,29
Mantis,831,83,86,94,83
MapleMan,195,18,21,14,18
Mazin,912,86,91,75,86
MechBug,248,29,29,25,0
Medusa,182,17,16,18,22
Mephisto,373,41,41,41,45
Mercenar,358,34,32,34,36
Moaner,681,73,71,76,78
Mosquito,392,39,41,47,39
Moth,182,13,16,22,22
Musashi,2000,76,78,76,63
Mushroom,248,25,28,22,25
Naga,614,59,57,61,68
Nike,777,83,83,94,91
Ninja,700,43,45,43,33
Nitemare,507,53,51,53,43
Nymph,568,50,57,71,66
O-Bake,263,20,19,29,29
Octopus,99,10,5,7,8
Ogre,290,38,32,31,32
Oni,104,16,13,12,13
P-Flower,324,32,32,29,36
P-Spider,182,18,18,18,18
P-Toad,263,25,23,28,20
P-Worm,248,28,23,20,28
Paladin,756,73,81,68,68
Pathogen,316,39,47,45,43
Pebble,90,7,13,4,8
Phagocyt,156,21,18,18,18
Phantom,430,35,33,47,47
Piranha,358,29,29,36,32
Plague,606,71,81,78,76
Plasma,104,15,13,13,13
Pudding,756,73,73,66,71
Rakshasa,781,78,68,73,68
Raven,143,17,17,22,21
Red Bone,90,7,5,8,11
Revenant,966,97,75,75,86
Rhino,170,18,13,8,7
Ridean,637,66,64,66,0
ROBO-28,137,15,14,15,0
ROBO-Z,263,28,26,28,0
Roc,631,73,66,86,71
Rock,756,71,86,61,66
SabreCat,182,21,18,18,16
Salamand,781,78,73,63,66
Samurai,320,14,15,14,8
SandWorm,731,78,71,66,71
Scarab,881,75,91,91,86
Scylla,731,71,68,73,73
Sei-Ryu,858,89,86,78,91
Serpent,324,34,34,32,29
Shark,549,47,47,55,51
Shiitake,731,73,78,68,73
Silver,126,14,13,14,10
Skelton,52,4,2,5,7
Slime,21,8,8,5,10
Slime (Starter),52,5,2,6,5
SlimeGod,885,86,86,78,91
Snake,81,9,9,8,6
SnowCat,507,55,51,51,43
Sorcerer,614,52,55,68,64
Spector,756,66,63,81,81
Sphinx,706,81,73,73,68
Spider,45,5,5,5,5
Squid,218,17,22,31,32
SS,781,76,73,76,63
Stoneman,449,41,45,33,37
Su-Zaku,750,86,78,99,91
SunPlant,750,73,73,68,72
Susano-O,804,94,86,83,86
Swallow,324,26,29,38,38
Sylph,681,61,68,83,78
T Rex,831,86,73,63,61
Tarantula,411,41,41,41,41
Ten-Gu,545,59,59,68,60
Terorist,148,14,13,14,8
Thunder,188,25,20,32,28
Titania,804,72,80,97,99
Toad,52,6,4,6,3
Toadstol,858,86,91,80,86
Tororo,341,32,32,27,36
Tortoise,182,18,25,13,17
Treant,885,86,91,78,86
Triceras,392,41,32,26,24
Trooper,90,8,11,6,6
Turtle,248,25,32,19,23
Unicorn,828,89,86,89,80
Virus,117,17,22,21,20
Warrior,347,31,27,32,38
Watcher,614,59,61,55,71
WereRat,99,10,6,8,6
WereWolf,278,28,22,25,22
Wh. Belt,248,25,23,29,22
Wight,831,83,63,63,73
Wizard,731,63,66,81,75
Woodman,148,13,15,8,13
Worm,126,15,12,9,15
Wraith,528,44,42,57,57
