Name,HP,Strength,Magic,Defense,Magic Defense,Agility,AP,Size,Weight
Tama,,,,,,,,,
Tamamohime,,,,,,,,,
Yurugu,,,,,,,,,
Kyubi,,,,,,,,,
2P Tama,157,13,13,13,13,23,4,S,2
Chocochick,139,14,14,14,14,27,4,S,1
Chocobo,145,16,12,15,14,26,4,M ,3
Mecha Chocobo,,,,,,,,,
Black Chocochick,127,15,12,15,12,33,4,S,1
Hyperion,,,,,,,,,
White Chocobo,,,,,,,,,
Sylph,,,,,,,,,
Siren,,,,,,,,,
Serafie,,,,,,,,,
Diva Serafie,,,,,,,,,
2P Serafie,134,13,14,13,15,25,4,S,2
Mu,,,,,,,,,
Skull Eater,,,,,,,,,
Carbuncle,127,12,19,12,12,19,4,M,5
Reaver Mu,,,,,,,,,
Nut Eater,,,,,,,,,
Topaz Carbuncle,,,,,,,,,
Goblin,,,,,,,,,
Goblin Guard,,,,,,,,,
Princes Goblin,,,,,,,,,
Red Cap,,,,,,,,,
Red Captain,,,,,,,,,
Mandragora,,,,,,,,,
Malboro,,,,,,,,,
Korrigan,,,,,,,,,
Malboro Menace,,,,,,,,,
Copper Gnome,166,14,13,16,13,22,4,M,5
Mythril Giant,,,,,,,,,
Iron Giant,,,,,,,,,
Lead Gnome,,,,,,,,,
Chrome Giant,178,13,12,17,14,22,4,L,7
Mini Golem,,,,,,,,,
Water Golem,,,,,,,,,
Golem Head,,,,,,,,,
Floating Eye,,,,,,,,,
Ahriman,147,13,17,12,18,22,4,L,5
Blood Eye,142,13,17,14,17,23,4,M,3
Buer,148,13,17,13,16,22,4,L ,5
Fritt,,,,,,,,,
Affrite,127,16,17,15,12,24,4,M,4
Ifrit,,,,,,,,,
Ifreeta,,,,,,,,,
Weeglee,,,,,,,,,
Gleed,,,,,,,,,
Gleefrit,,,,,,,,,
Shiva,,,,,,,,,
Shivalry,,,,,,,,,
Bablizz,146,12,16,14,15,25,4,S,2
Shivverina,,,,,,,,,
Shivver,,,,,,,,,
Zapt,,,,,,,,,
Zaphr,,,,,,,,,
Ramuh,,,,,,,,,
Ramewl,,,,,,,,,
Joult,,,,,,,,,
Voultr,,,,,,,,,
Rairamuh,,,,,,,,,
White Nakk,,,,,,,,,
Fenrir,,,,,,,,,
Cerberus,877,18,17,12,15,32,4,XL,N/A
